setting,seed_label,best_loss,hit_epoch,hit_candidate_evaluations,hit_loss
B=100,seed350,17.702389195498526,599.0,59900.0,17.702389195498526
B=100,seed351,15.672942882496557,211.0,21100.0,15.672942882496557
B=100,seed352,18.732329213971777,232.0,23200.0,18.732329213971777
B=100,seed353,8.240304019150809,324.0,32400.0,8.240304019150809
B=100,seed356,16.49430343773325,233.0,23300.0,16.49430343773325
B=100,seed359,18.246983776856474,389.0,38900.0,18.246983776856474
B=100,seed361,10.193949107719478,306.0,30600.0,10.193949107719478
B=100,seed369,4.663023927765267,409.0,40900.0,4.663023927765267
B=100,seed372,9.147181942568205,265.0,26500.0,9.147181942568205
B=100,seed381,19.6248315952679,454.0,45400.0,19.6248315952679
B=100,seed382,12.050055629728952,245.0,24500.0,12.050055629728952
B=100,seed383,18.063431921559538,161.0,16100.0,18.063431921559538
B=100,seed391,11.443878377051597,347.0,34700.0,11.443878377051597
B=100,seed393,15.872709260563138,194.0,19400.0,15.872709260563138
B=100,seed394,15.005802745573774,153.0,15300.0,15.005802745573774
B=100,seed397,19.18656278499791,405.0,40500.0,19.18656278499791
B=100,seed398,13.950826923609227,320.0,32000.0,13.950826923609227
B=100,seed399,18.27912681682969,560.0,56000.0,18.27912681682969
B=200,seed007,18.926331295204747,163.0,32600.0,18.926331295204747
B=200,seed019,11.877702110609128,187.0,37400.0,11.877702110609128
B=200,seed008,16.352948207939384,210.0,42000.0,16.352948207939384
B=200,seed015,12.544681871034369,215.0,43000.0,12.544681871034369
B=200,seed005,19.830519662370705,304.0,60800.0,19.830519662370705
B=200,seed010,9.844267403786832,401.0,80200.0,9.844267403786832
B=200,seed018,9.243417272731234,423.0,84600.0,9.243417272731234
B=200,seed025,16.90268944549483,129.0,25800.0,16.90268944549483
B=200,seed006,18.00027922251714,554.0,110800.0,18.00027922251714
B=200,seed002,19.596176742222013,569.0,113800.0,19.596176742222013
B=200,seed026,19.391154087236337,239.0,47800.0,19.391154087236337
B=200,seed024,13.963917767217843,388.0,77600.0,13.963917767217843
B=200,seed021,12.839236764212194,534.0,106800.0,12.839236764212194
B=200,seed030,19.63439679592167,188.0,37600.0,19.63439679592167
B=200,seed027,12.968932892682949,345.0,69000.0,12.968932892682949
B=200,seed037,19.19164876613993,139.0,27800.0,19.19164876613993
B=200,seed039,19.42430664934558,135.0,27000.0,19.42430664934558
B=200,seed035,9.145097852405334,168.0,33600.0,9.145097852405334
B=200,seed029,17.544443538662925,439.0,87800.0,17.544443538662925
B=200,seed042,4.239059290816615,163.0,32600.0,4.239059290816615
B=200,seed045,18.524937083314363,139.0,27800.0,18.524937083314363
B=200,seed053,10.105265400957633,127.0,25400.0,10.105265400957633
B=200,seed050,16.515356782846407,172.0,34400.0,16.515356782846407
B=200,seed041,18.82730974025196,382.0,76400.0,18.82730974025196
B=200,seed033,19.517485227583613,468.0,93600.0,19.517485227583613
B=200,seed043,16.385733156404463,533.0,106600.0,16.385733156404463
B=200,seed047,19.011499999762343,490.0,98000.0,19.011499999762343
B=200,seed036,17.572575308207934,701.0,140200.0,17.572575308207934
B=200,seed061,14.320748468534005,156.0,31200.0,14.320748468534005
B=200,seed051,8.262818401126555,598.0,119600.0,8.262818401126555
B=200,seed048,19.028527922669813,636.0,127200.0,19.028527922669813
B=200,seed055,14.19023059120963,508.0,101600.0,14.19023059120963
B=200,seed063,12.18547814202029,232.0,46400.0,12.18547814202029
B=200,seed066,15.316433536711802,166.0,33200.0,15.316433536711802
B=200,seed070,16.859007905965363,170.0,34000.0,16.859007905965363
B=200,seed067,15.000004588662396,225.0,45000.0,15.000004588662396
B=200,seed052,19.43490617290366,781.0,156200.0,19.43490617290366
B=200,seed073,19.28761875821537,173.0,34600.0,19.28761875821537
B=200,seed075,13.394650157554896,148.0,29600.0,13.394650157554896
B=200,seed071,19.62944440182912,307.0,61400.0,19.62944440182912
B=200,seed074,17.383880365851816,276.0,55200.0,17.383880365851816
B=200,seed081,17.31272398798937,152.0,30400.0,17.31272398798937
B=200,seed077,10.004771240618531,275.0,55000.0,10.004771240618531
B=200,seed083,8.622530440597814,172.0,34400.0,8.622530440597814
B=200,seed079,12.736177683126332,311.0,62200.0,12.736177683126332
B=200,seed080,19.886436115931737,390.0,78000.0,19.886436115931737
B=200,seed082,16.923548929786147,363.0,72600.0,16.923548929786147
B=200,seed088,12.898080324574938,217.0,43400.0,12.898080324574938
B=200,seed089,13.147894778130658,287.0,57400.0,13.147894778130658
B=200,seed094,19.1950302551281,225.0,45000.0,19.1950302551281
B=200,seed098,17.894063375286642,318.0,63600.0,17.894063375286642
B=200,seed096,15.681219522375564,367.0,73400.0,15.681219522375564
B=200,seed092,13.380373649539052,486.0,97200.0,13.380373649539052
B=200,seed095,15.511724941748277,455.0,91000.0,15.511724941748277
B=200,seed107,8.777119261300205,179.0,35800.0,8.777119261300205
B=200,seed091,19.74139638130045,744.0,148800.0,19.74139638130045
B=200,seed099,16.721747309055345,627.0,125400.0,16.721747309055345
B=200,seed109,14.941515628104032,310.0,62000.0,14.941515628104032
B=200,seed116,19.085644671132503,249.0,49800.0,19.085644671132503
B=200,seed112,19.00531768419746,422.0,84400.0,19.00531768419746
B=200,seed110,18.99551205003564,491.0,98200.0,18.99551205003564
B=200,seed121,17.704064530245073,126.0,25200.0,17.704064530245073
B=200,seed113,17.103632143212796,510.0,102000.0,17.103632143212796
B=200,seed123,19.356046065441184,338.0,67600.0,19.356046065441184
B=200,seed114,12.882831530928245,758.0,151600.0,12.882831530928245
B=200,seed118,16.472970058768357,610.0,122000.0,16.472970058768357
